variabledescription
hhgrap,Numéro de grappe
q4c_06a4,Branche de code 4
q4c_07,Statut dans ancien emploi principal
q4c_08,Mode de paiement
q4c_09,#emplois perdus à cause du Covid-19
num_zd,RAISINS
fsect4,Section d'aileron FSECT4 IV
q2_09,a fréquenter une école 2021 / 2022
total_dép,
q0_04,Milieu de résidence
hlid,
éducation,Dernière classe acquise sans formation professionnelle
niveau_éducation,Niveau d'éducation
Internet,
handicap,Personne handicapée
je l'ai fait,ID Individu
hlname,PRÉNOMS ET NOMS
q1_03date,Date de naissance
q0_12,Numéro Tél
hhreg,Région
hhdist,District
hhcom,Commune
milieu_gcu,Milieu de résidence
milieu,
hommes à queue,
educ_cm,Dernière classe acquise sans formation professionnelle
niveau_cm,
religion_cm,Religion
nationalité_cm,Nationalité
posséder_phoncm,Possède un tél
utiliser_phoncm,a utilisé un tél 7 derniers jours
courrier_cm,Compte mail
accès_netcm,
sexe_cm,Sexe
âge_cm,
agegrp_cm,RECODE de l'âge
présence scolaire,Éducation (Fréquentation)
actif,
salaire,
âge_travail,
non-emploi,
chom_ld,
rpasdispo,
setps_chom,
chom_mop,
trop d'heures de semaine,
femme_non_agri,
composition,
participe,
yage_work,
paj,
ynotemploi,
ymoe,
ychom_ld,
yrpasdispo,
ydis,
potentiel,
ysetps_chom,
ychom_mop,
yilo_joball_tru,
ilo_key,Identifiant unique clé par individu
ilo_hh,Identifiant unique clé par ménage
ilo_hhsize,Nombre de membres du ménage
ilo_time,Heure (calendrier grégorien)
ilo_wgt,Poids de l'échantillon
ilo_region_sub1,Sous-région nationale - niveau 1
ilo_region_sub2,Sous-région nationale - niveau 2
ilo_geo_details,Couverture géographique - Détaillée
ilo_geo,Couverture géographique
ilo_sex,Sexe
ilo_age,Âge
ilo_âge_5yrbands,Âge (tranches d'âge de 5 ans)
ilo_âge_10yrbands,Âge (tranches d'âge de 10 ans)
ilo_age_aggregate,Âge (agrégat)
ilo_âge_ythadult,Âge (Jeunes et adultes)
ilo_edu_attendance,Éducation (Fréquentation)
ilo_swt_form,Formes de transition de l'école au travail
ilo_swt_stage,Étapes de la transition de l'école au travail
citoyenneté ilo,Citoyenneté
ilo_religion_details,Religion
ilo_religion_aggregate,Religion (Niveaux agrégés)
ilo_relationship_details,Lien de parenté avec la personne de référence
ilo_relationship_aggregate,Lien de parenté avec la personne de référence (niveaux agrégés)
ilo_mrts_details,État civil
ilo_mrts_aggregate,État civil (niveaux agrégés)
ilo_dsb_détails,Statut d'invalidité (Détails)
ilo_dsb_aggregate,Statut d'invalidité (global)
ilo_wap,Population en âge de travailler
ilo_lfs_emp,Emploi
ilo_lfs_notemp_activ,Je cherche du travail
ilo_lfs_notemp_avail,Disponible pour travailler
ilo_lfs_notemp_futur,futurs titulaires
ilo_lfs_notemp_will,Prêt à travailler
ilo_lfs,Statut sur le marché du travail
ilo_neet,Les jeunes qui ne sont ni scolarisés, ni employés, ni en formation
ilo_sub_dest,Destination de production
ilo_lfs_emp19,Emploi - 19e ICLS
ilo_lfs19,Situation de la population active - 19e ICLS
ilo_olf_dlma,Intégration au marché du travail (Degré de)
ilo_olf_plf,main-d'œuvre potentielle
ilo_olf_gap,Les personnes disposées à travailler
ilo_mjh,Plusieurs titulaires d'emplois
ilo_job1_ste_icse93,Statut professionnel (ICSE 93) - Emploi principal
ilo_job1_ste_aggregate,Situation professionnelle (Globale) - Emploi principal
ilo_job2_ste_icse93,Statut professionnel (ICSE 93) - Deuxième emploi
ilo_job2_ste_aggregate,Situation professionnelle (Globale) - Deuxième emploi
code_isic,
ilo_job1_eco_isic4_4digits,Activité économique (CITI Rév. 4), niveau à 4 chiffres - emploi principal
ilo_job1_eco_isic4_3digits,Activité économique (CITI Rév. 4), niveau à 3 chiffres - emploi principal
ilo_job1_eco_isic4_2digits,Activité économique (CITI Rév. 4), niveau à 2 chiffres - emploi principal
ilo_job1_éco_isic4,Activité économique (CITI Rév. 4) - emploi principal
ilo_job1_eco_aggregate,Activité économique (agrégée) - emploi principal
ilo_job1_secteur_éco,Activité économique (secteur) - emploi principal
ilo_job1_éco_agnag,Activité économique (agriculture, hors agriculture) - emploi principal
ilo_job2_eco_isic4_2digits,Activité économique (CITI Rév. 4), niveau à 2 chiffres - deuxième emploi
ilo_job2_éco_isic4,Activité économique (CITI Rév. 4) - deuxième emploi
ilo_job2_eco_aggregate,Activité économique (agrégée) - deuxième emploi
ilo_job2_secteur_éco,Activité économique (Secteur) - deuxième emploi
ilo_job2_éco_agnag,Activité économique (agriculture, hors agriculture) - deuxième emploi
ilo_job1_ocu_isco08_3digits,Profession (CITI-08), niveau à 3 chiffres - emploi principal
ilo_job1_ocu_isco08_2digits,Profession (CITI-08), niveau à 2 chiffres - emploi principal
ilo_job1_ocu_isco08,Profession (CITI-08) - emploi principal
ilo_job1_ocu_aggregate,Profession (agrégat) - emploi principal
ilo_job1_ocu_skill,Profession (niveau de qualification) - emploi principal
ilo_job1_soignants,Aides-soignants (codes ISCO08 et ISIC4 à 2 chiffres)
ilo_job2_ocu_isco08_2digits,Profession (CITI-08), niveau à 2 chiffres - deuxième emploi
ilo_job2_ocu_isco08,Profession (CITI-08) - deuxième emploi
ilo_job2_ocu_aggregate,Profession (agrégat) - deuxième emploi
ilo_job2_ocu_skill,Profession (niveau de compétence) - deuxième emploi
ilo_job1_ins_sector,Secteur institutionnel (privé/public) des activités économiques - emploi principal
ilo_job1_comment_habituellement,Nombre d'heures hebdomadaires habituellement travaillées - emploi principal
ilo_job1_comment_les_bandes_usuelles,Nombre d'heures hebdomadaires travaillées habituellement par groupes - emploi principal
ilo_job1_comment_réel,Heures travaillées hebdomadaires - emploi principal
ilo_job1_comment_les_bandes_réelles,Nombre d'heures travaillées par semaine - emploi principal
ilo_job2_comment_habituellement,Nombre d'heures travaillées par semaine en général - deuxième emploi
ilo_job2_comment_les_bandes_usuelles,Nombre d'heures hebdomadaires généralement travaillées par groupes - deuxième emploi
ilo_job2_comment_réel,Heures travaillées hebdomadaires - deuxième emploi
ilo_job2_comment_les_bandes_réelles,Nombre d'heures travaillées par semaine (deuxième emploi)
ilo_joball_comment_habituellement,Nombre d'heures travaillées par semaine en moyenne - tous les emplois
ilo_joball_comment_les_bandes_habituelles,Nombre d'heures hebdomadaires travaillées habituellement - tous les emplois
ilo_joball_comment_réel,Heures hebdomadaires réellement travaillées - tous les emplois
ilo_joball_comment_les_vrais_groupes,Nombre d'heures travaillées par semaine - tous les emplois
ilo_job1_temps_de_travail,Emploi (Aménagement du temps de travail)
ilo_job1_contrat_de_travail,Emploi (Type de contrat)
ilo_job1_job_tempdur_details,Durée totale détaillée du contrat à durée déterminée
ilo_job1_job_tempdur_aggregate,Durée totale cumulée des contrats à durée déterminée
ilo_job1_socsec,Droit à la sécurité sociale
ilo_job1_congé payé,Droit à un congé payé
ilo_job1_sickleave,Droit au congé de maladie
ilo_job1_parleave,Droit au congé parental
ilo_job1_rgt,Inscription
ilo_job1_bkp,Comptabilité
ilo_job1_pow,Lieu de travail
ilo_job1_size_details,Taille de l'établissement (détaillée)
ilo_job1_size_aggregate,Taille de l'établissement (agrégée)
ilo_job1_ife_prod,Économie informelle / formelle (Unité de production)
ilo_joball_lookoj,Je cherche un autre emploi.
ilo_joball_will,Prêt à faire des heures supplémentaires
ilo_joball_disponible,Disponible pour effectuer des heures supplémentaires
ilo_dur_details,Durée du chômage (Détails)
ilo_dur_aggregate,Durée du chômage (agrégée)
ilo_olf_reason,Lien avec le marché du travail (Raisons de ne pas chercher d'emploi)
ilo_dis,demandeurs d'emploi découragés
ilo_olf_reason_care,Les raisons de l'inactivité professionnelle sont liées aux soins.
ilo_sub_all,producteurs à usage propre
ilo_comment_sub,Heures hebdomadaires réellement/habituellement travaillées en production pour usage personnel
ilo_comment_sous-travail,Heures hebdomadaires réellement travaillées pour la production à usage personnel et tous les emplois
ilo_job1_travaux_dangereux,Travail dangereux
ilo_job1_travail_enfant,travail des enfants
ilo_job1_travail_enfantdg1,Travail des enfants ODD1
ilo_job1_enfant_travail_domestique,Enfants travaillant à domicile
ilo_job1_vie_nature,Économie informelle / formelle (Nature de l'emploi) - Emploi principal
ilo_joball_tru,Sous-emploi lié au temps
ilo_age_cls,Âge (Travail des enfants)
ilo_cl_work,Travail (enfants)
ilo_cl_secteur_éco,Activité économique (Secteur) - Travail des enfants
