metier_original,occurrences,traduction_fr,est_malgache
MANJAITRA LAMBA,48,COUDRE DES TISSUS,True
MPAMPIANATRA AMIN'NY EPP,48,ENSEIGNANT PPE,True
MPIVAROTRA SAKAFO MASAKA,48,REVENDEUR DE PRODUITS CUISINES,True
MPANAMPY ATRANO,47,ASSISTANT,True
MPAMBOLY MADINIKA,47,PETITS AGRICULTEURS,True
MAMBOLY GIROFLE,46,PLANTATION de clous de girofle,True
MAGASINIER,46,REVUE,True
MANAO SOUDURE,46,SOUDAGE,True
MANJONO ANDRANOMASINA,45,PÊCHE EN MER,True
MIVAROTRA RONONO,45,VENDRE DU LAIT,True
MPAMPIANATRA PRIMAIRE,45,ENSEIGNANT PRIMAIRE,True
MANAMPY NY VADINY MAMBOLY,45,IL AIDE LE MARI À PLANTER,True
MIVAROTRA MOFO,44,VENDRE DU PAIN,True
Mamboly vary,44,Planter du riz,True
MAMAKY VATO,44,LIRE LES PIERRES,True
MANAMBOATRA CHARBON,43,FABRICATION DE CHARBONE,True
MPAMAKY VATO,43,LECTEUR DE PIERRE,True
MPANAO SARAKATSAHA,43,DIFFÉRENTS TRAVAILLEURS,True
MIVAROTRA VOAMAINA,43,VENDRE DES GRAINS,True
CUISINIER,43,CUISINER,True
MPANAMBOATRA TRANO,42,CONSTRUCTEUR DE MAISON,True
MIHADY VATO,42,CREUSER DES PIERRES,True
MANAMPY MAMBOLY MANGAHAZO,42,AIDEZ À PLANTER DES ARBRES,True
MANAMBOATRA TOAKA GASY,42,FABRICATION D'ALCOOL GAZEUX,True
SARAKANTSAHA AMINY TOKANTRANO MARO2,42,2,True
PREPARATEUR DE FIBRE DE SISAL,42,PRÉPARATEUR DE FIBRE DE SISAL,True
MPANARATO,42,PÊCHEUR,True
MPABOLY VARY,41,RIZICULTEUR,True
PANJONO,41,PÊCHE,True
MAMBOLY CACAO,41,CULTURE DU CACAO,True
MANDRAFITRA,40,PLANIFICATION,True
MPANAMPY FIANAKAVIANA,40,AIDE FAMILIALE,True
MANAMBOATRA SARIBAO,40,FABRICATION DU CHARBON,True
POLICE,40,POLICE,True
MIVAROTRA CONFECTION,40,VENDRE DES CONFECTIONS,True
MPAMBOLY JIROFO,40,PRODUCTEUR DE CÉLÉBRATION,True
PASTEUR,39,PASTEUR,True
MIVAROTRA TRONDRO MAINA,39,VENTE DE POISSON SEC,True
MPAMPIANATRA @ EPP,39,ENSEIGNANTE @ EPP,True
CHAUFFEUR TAXI,39,CHAUFFEUR DE TAXI,True
MIASA VOLAMENA,39,TRAVAUX D'OR,True
MPAMPIANATRA SECONDAIRE,39,ENSEIGNANT SECONDAIRE,True
SARAKAN-TSAHA,39,CHAMPS SÉPARÉS,True
MACONS,39,Mâconnais,True
MPIKAPOKA VATO,39,BATEURS DE PIERRE,True
MIJINJA VARY,39,RÉCOLTE DU RIZ,True
MIASA AN-TRANO,39,TRAVAILLER À LA MAISON,True
SARAKA ATSAHA,39,SÉPARÉMENT,True
MIVAROTRA MOFO GASY,38,VENDRE DES CUISSES AU GAZ,True
MITONDRA POSY,38,CONDUIRE UN Pousse-pousse,True
MANAO SATROKA,38,PORTEZ UN CHAPEAU,True
MIVAROTRA LEGUMES,38,VENDRE DES LÉGUMES,True
MPIOMPY AKOHO,38,ÉLEVEURS DE POULET,True
MPIVAROTRA FRIPERIE,38,CONCESSIONNAIRE FRIEFIER,True
MPIVAROTRA RANO,38,REVENDEUR D'EAU,True
MPANOTRA,38,FOURNISSEURS,True
MANBOLY VARY,38,PLANTATION DE RIZ,True
MAMBOLY LEGUME,37,CULTIVER DES LÉGUMES,True
MIVAROTRA RAKETA,37,VENTE DE RAQUETTES,True
MAMBOLY VARY SY LAVANILA,37,CULTURE DU RIZ ET DE LA VANILLE,True
MANJONO TRONDRO ANDRANOMASINA,36,PÊCHE EN MER,True
MPANAO SARAKA AN-TSAHA,36,FABRICANT DE TERRAIN,True
MITONDRA CYCLO POUSSE,36,DRIVE CYCLO POUSSE,True
MIVAROTRA CAFE SY MOFO,36,VENDRE DU CAFÉ ET CUIRE,True
MANAMBOATRA TSIHY,36,FABRICATION DE TAPIS,True
MPANDRAFITRA,36,DESIGNER,True
MITOTO VARY,35,MOULER LE RIZ,True
MANERA AKOHO,35,MANÉRA DE POULET,True
FEMME DE CHAMBRE,35,DAME DE CHAMBRE,True
MPANTSAKA RANO,35,POMPE À EAU,True
MPITRANDRAKA VATO,35,MINEURS DE PIERRE,True
MIVAROTRA FRIPE,35,VENDRE DES FRITES,True
MPIOMPY OMBY,35,ÉLEVEURS DE BOVIN,True
MANDRAFITRA FANAKA,35,DISPOSITION DES MEUBLES,True
MIVAROTRA RANO,34,VENDRE DE L'EAU,True
MPAMBOLY LENTILLES,34,PRODUCTEURS DE LENTILLES,True
MAMBOLY BALAHAZO,34,PLANTER DES ARBRES,True
MPANERA,34,MEMBRE,True
MANAO SARAKASAHA,34,FAIRE LES DÉTAILS,True
MANETSA,34,TRICHERIE,True
MPIVAROTRA @ EPICERIE,34,VENDEUR @ EPICERIE,True
MITRANDRAKA VATO,34,PIERRES DE PLONGÉE,True
MPIVAROTRA TRONDRO FRITE,34,VENDEUR DE POISSON FRIT,True
MANAO SY MIVAROTRA CAFE SY MOFO,33,FABRIQUER ET VENDRE DU CAFÉ ET CUIRE,True
MANEFY VY,33,FER À FORGER,True
MPIVAROTRA CAFE SY MOFO,33,REVENDEUR DE CAFÉ ET BOULANGERIE,True
MIKARAMA MANETSA,33,EMBAUCHE MANETA,True
MPAMBOLY VARY SY MANGAHAZO,33,RIZICULTEURS ET PRODUCTEURS DE RIZ,True
MIASA KARIERA,33,CARRIÈRE PROFESSIONNELLE,True
MIVAROTRA TELEPHONE,32,VENDRE DES TÉLÉPHONES,True
MPAMBOLY LOJY,32,PRODUCTEUR D'HÉBERGEMENT,True
MAMBOLY BAGEDA,32,PLANTATION DE BAGÉDA,True
MIVAROTRA FRIPPE,32,VENDRE FRIPPE,True
MANAO SARANKATSAHA,32,FAIRE UN truc,True
NIAVA VARY,32,LE RIZ ÉTAIT CASSÉ,True
MITAONA HAZO,32,TIRER DU BOIS,True
MIVAROTRA LAMBA FRIPERIE,32,VENDRE DES TISSUS,True
KARAMAN'ANDRO,31,SALAIRE QUOTIDIEN,True
MIOMPY GANA,31,CANARDS D'ÉLEVAGE,True
MIKARAMA MANAO CHARBON,31,EMBAUCHE POUR FAIRE DU CHARBON,True
MIKARAMA MIKAPOBATO ENY @CARRIERE,30,EMBAUCHE MIKAPOBATO CHEZ @CARRIERE,True
MPATSAKA RANO,30,FORAGE À EAU,True
ASA ANTRANO,30,ŒUVRE DE CHARITÉ,True
MIVAROTRA AMIN'NY EPICERIE,30,VENDU CHEZ LES ÉPICERIES,True
MPAMPIANATRA PRESCOLAIRE,30,ENSEIGNANTE PRÉSCOLAIRE,True
MAMBOLY LEGUMES,30,CULTIVER DES LÉGUMES,True
CHAUFEUR,30,CONDUCTEUR,True
INFIRMIER,30,INFIRMIÈRE,True
MIVAROTRA AKOHO,30,VENDRE DU POULET,True
MIKARAMA MANASA LAMBA,30,LOCATION D'UNE LAVE-LINGE,True
MPIARAKANDRO,29,PROFESSEUR,True
VAROTRA,29,VENTES,True
MIKARAMA MAMBOLY,29,PLANTATION EN LOCATION,True
MPAMBOLY BALAHAZO,29,PRODUCTEUR D'ARBRES,True
VENDEUSE,29,VENDEUR,True
MANAO GARGOTTE,29,FAIRE UNE GARGOTTE,True
CHARPENTIER,29,MENUISIER,True
SARAKATSA,28,SÉPARÉ,True
CAISSIER,28,CAISSIER,True
maçon,28,maçon,True
MABOLY VARY,28,PLANTATION DE RIZ,True
CHAUFFEUR TAXI BE,28,GRAND CHAUFFEUR DE TAXI,True
MIHAZA,28,CHASSE,True
MAMBOLY LA VANILLE,27,CULTIVER LA VANILLE,True
DOKOTERA,27,MÉDECIN,True
AIDE VENDEUR,27,ASSISTANT VENDEUR,True
MANAO SY MIVAROTRA SAKAFO MASAKA,27,FABRIQUER ET VENDRE DES ALIMENTS CUISINÉS,True
MAMBOLY VARY ANATY RANO,27,CULTURE DU RIZ DANS L'EAU,True
MAMPIANATRA AMIN'NY CEG,27,ENSEIGNER AU CEG,True
Manao sarakantsaha,27,Faire une blague,True
MITAIZA ZAZA,27,Élever des enfants,True
MIOPY KISOA,27,ÉLEVEZ DES COCHONS,True
AGENT DE POLICE,27,AGENT DE POLICE,True
MIVAROTRA OMBY,27,VENDRE DU BÉTAIL,True
MPAMBOLY CACAO,27,LES PRODUCTEURS DE CACAO,True
CHEF ZAP,27,CHEF ZAP,True
MPIVAROTRA RAKETA,27,VENDEUR DE RAQUETTE,True
MPIHADY SAPHIRE,26,Creuseurs de saphir,True
MPANAO KIBAROA,26,UN CHARPENTIER,True
MIVAROTRA AM EPICERIE,26,VENDRE CHEZ EPICERS,True
MPAMPIANATRA AMIN EPP,26,ENSEIGNANT PPE,True
MANASALAMBA,26,BONNE CHANCE,True
SOUDEUR,26,SOUDEURS,True
MPAMPIANATRA AMIN'NY CEG,26,ENSEIGNANTE AU CEG,True
MIVAROTRA KAPA,25,VENDRE DES CHAUSSURES,True
MAMBOLY FARY,25,CULTURE DE LA CANNE À SUCRE,True
BOUCHER,25,BOUCHER,True
ASA AN-TRANO,24,DEVOIRS,True
MENAGERE,24,DIRECTEUR,True
MANAO SOBIKA,24,FAIRE UN PANIER,True
MANAO JOURNIER SARAKATSAHA,24,FAITES UN VOYAGE DIFFÉRENT,True
MPAMBOLY TSARAMASO,24,Producteurs de sucre,True
MPIKARAMA MIAVA,24,EMPLOYÉ SANS FIL,True
COIFFEUSE,24,COIFFEUR,True
MANAMBOATRA HARONA,24,FABRICATION DE PANIERES,True
MIVAROTRA ENTA-MADINIKA,24,VENDRE DES BIENS AU DÉTAIL,True
MAMBOLY TABOARA,24,PLANTATION DE TABUARA,True
MPANJAITRA LAMBA,24,TAILLEUR DE TISSU,True
RECEVEUR,24,RÉCEPTEUR,True
MIOMPY OMBY VAVY BE RONONO,23,Des vaches reproductrices avec beaucoup de lait,True
MIVAROTRA TOAKA GASY,23,ALCOOL VENDU,True
MPAMPIANATRA AMINY CEG,23,ENSEIGNANTE CEG,True
MPAMBOLY ANTSOROKO,23,AGRICULTEURS D'ÉPAULE,True
MPAMPIANATRA CEG,23,ENSEIGNANTE CEG,True
MIVAROTRA AKONDRO,23,VENDRE DES BANANES,True
MANAMPY MIKARAKARA LA VANILLE,23,AJOUTER LA VANILLE,True
MPANAO SOUDURE,23,SOUDEURS,True
MITARIKA POUSSE,23,PUSSE DE PLOMB,True
MANAO SARAKAN-TSAHA,23,FAIRE LA DIFFÉRENCE,True
MIVAROTRA PARAKY,23,VENDRE DU TABAC,True
INFORMATICIEN,23,IL,True
MPANEFY VY,22,FORGERON DE FER,True
PASITERA,22,PASTEUR,True
CHEF DE CHANTIER,22,CHEF DE SITE,True
MITONDRA BAJAJ,22,CONDUIRE UN BAJAJ,True
GUICHETIER,22,GUICHETIER,True
MPAMBOLY MADINIKA(VARY),22,PETITS AGRICULTEURS (RIZ),True
MPAHANDRO SAKAFO,22,CUISINER LES ALIMENTS,True
MAçONS,22,Maçons,True
CUISINIERE,22,CUISINER,True
MIVAROTRA SIRA,22,VENDRE DU SEL,True
COIFFURE,22,COIFFURE,True
MPAMBOLY VOMANGA,22,PRODUCTEUR DE POMMES DE TERRE,True
MIOMPY,21,RACE,True
POMPISTE,21,POMPISTE,True
MPIBATA ENTANA,21,TRANSPORTEUR DE MARCHANDISES,True
MPANJAITRA AKANJO,21,TAILLEUR DE VÊTEMENTS,True
MPANETY VOLO,21,COIFFEUR,True
MPIVAROTRA HANIMASAKA,21,VENDEUR POUR ACHETER,True
MIHADY SAPHIR,21,À LA RECHERCHE DU SAPHIR,True
MPANDRAFITRA TRANO,21,CONCEPTEUR DE MAISON,True
MAMBOLY PARAKY,21,CULTURE DU TABAC,True
MIOMPY SY MIVAROTRA AKOHO,21,ÉLEVAGE ET VENTE DE POULET,True
MANOEUVRE BATIMENT,21,MANŒUVRE BATIMENT,True
MPANASA LAMBAN'OLONA,21,LAVE-LINGE POPULAIRE,True
MANAMBOATRA FASANA,21,RÉPARER UN CIMETIÈRE,True
MIVAROTRA HANIMASAKA,21,VENDRE POUR ACHETER,True
MPANAO MOFO,21,MACHINE À PÂTISSERIE,True
MPIVAROTRA TOAKA GASY,21,REVENDEUR D'ALCOOL GAZ,True
MPAMBOLY FARY,21,PRODUCTEURS DE CANNE À SUCRE,True
FAMBOLENA MANGAHAZO,21,PLANTATION DE BOIS,True
TAXI MOTO,21,MOTO-TAXI,True
MPIVAROTRA MOFO,21,VENDEUR DE PÂTE,True
MPAMPIANATRA FRAM,20,ENSEIGNANT FRAM,True
MIOMPY AKOHO GASY,20,ÉLEVAGE DE POULET AU GAZ,True
MPITONDRA POSY,20,conducteur de pousse-pousse,True
MIOPY OMBY,20,ÉLEVAGE DE VACHES,True
"FAMBOLENA TSAKO,VOATANGO",20,"PLANTATION DE LÉGUMES, RÉCUPÉRÉS",True
MANAMPY FIANAKAVIANA,20,AIDE LA FAMILLE,True
MANARATO TRONDRO,20,PÊCHE,True
FIOMPIANA,20,AGRICULTURE,True
MPAPIANATRA,20,PROFESSEUR,True
MANDRARY HARONA,20,LE PANIER FAIT MAL,True
ADJOINT FOKOTANY,20,DÉPARTEMENT ADJOINT,True
fambolena,20,agriculture,True
MPIVAROTRA CAFE,20,VENDEUR DE CAFÉ,True
MAMBOLY VOATABIA,20,PLANTATION DE TOMATES,True
MIBATA ENTANA,20,TRANSPORTER DES MARCHANDISES,True
DOCTEUR,19,MÉDECIN,True
MANDRARY SOBIKA,19,DOULEUR À L'ÉPAULE,True
MPAMBOLY MADINIKA FA MANAMPY NY VADINY,19,UN PETIT AGRICULTEUR QUI AIDE SA FEMME,True
MANAO JOURNEE,19,FAIRE UN VOYAGE,True
MITRANDRAKA SY MIVAROTRA VOLAMENA,19,EXTRAIT ET VENTE DE L'OR,True
SARAKA,19,SÉPARÉ,True
MAMBOLY VARY SY BALAHAZO,19,CULTURE DU RIZ ET BARBIER,True
MAKA RANO,19,OBTENIR DE L'EAU,True
MPANAO SARAK'ANTSAHA,19,FABRICANT INDÉPENDANT,True
MAMBOATRA FIBRE LALOASY,19,PRODUCTION DE FIBRES DE SALADE,True
MPIVARO-KENA,19,BOUCHER,True
MANAMPY MAMBOLY VANILLE,19,AIDEZ À CULTIVER LA VANILLE,True
MPITOTO VARY,19,MOULIN À RIZ,True
MIVAROTRA AKOHO VELONA,19,POULET VIVANT À VENDRE,True
MPAMAFA TRANO,19,ESSUIE-GLACE MAISON,True
FIOMPIANA KISOA,19,ÉLEVAGE DE PORCS,True
MIVAROTRA TRONDRO ENDASINA,19,VENDRE DU POISSON FRIT,True
MIOPY AKOHO,19,ÉLEVER LE POULET,True
MPANAMBOATRA FIBRE FANAMBOARANA TADY,18,FABRICANT DE CORDES DE RÉPARATION EN FIBRES,True
MPITARIKA POUSSE,18,CHEF DE POUSSE,True
MPIVAROTRA BOZAKA,18,REVENDEUR D'HERBE,True
MITATITRA RANO,18,RAPPORT EAU,True
MAMBOLY HARICOT VERT,18,PLANTATION HARICOT VERT,True
MPIVAROTRA KAFE SY MOFO,18,REVENDEUR DE CAFÉ ET BOULANGERIE,True
MIVAROTRA KIRARO,18,VENDRE DES CHAUSSURES,True
EPI-BAR,18,EPI-BAR,True
MPAMBOLY JOROFO,18,UN PRODUCTEUR DE MAÏS,True
GENDARMERIE,18,GENDARMERIE,True
MANOSIKA VARAMBA,18,POUSSER LA PORTE,True
PREPARATEUR DE SISAL,18,PRÉPARATEUR DE SISAL,True
MANOEUVRE MACON,18,MANŒUVRE À MACON,True
MAçon,17,MAÇON,True
OMBIASA,17,OMBIASA,True
MPANIVANA VOLAMENA,17,PLONGEURS D'OR,True
MANJONO AN-DRANOMASINA,17,PÊCHE EN MER,True
MPAMPIDITRA HIRA,17,ANIMATEUR DE CHANSON,True
MPANAO HANIMASAKA,17,FABRICANT HANIMASKA,True
MPANARATO TRONDRO,17,PÊCHEUR,True
GARDIENAGE,17,JARDINAGE,True
MIVAROTRA SACHET,17,VENTE DE SACHETS,True
INFIRMIERE,17,INFIRMIÈRE,True
MIVAROTRA MOFO AKONDRO,17,VENDRE DU PAIN À LA BANANE,True
MIVAROTRA KAFE SY MOFO,17,VENDRE DU CAFÉ ET CUIRE,True
MPITONDRA CYCLO POUSSE,17,POUSSE CYCLISTE,True
"NAMBOLY VARY,KATSAKA,VOMANGA,POMA",17,"RIZ, MAÏS, POMMES DE TERRE, POMMES PLANTÉS",True
MIVAROTRA COMPOSE,17,VENTE DE COMPOSÉS,True
MPIVAROTRA YAOURT,17,VENDEUR DE YAOURT,True
MPAMBOLY LEGUME,17,PRODUCTEUR DE LÉGUMES,True
MPIVAROTRA TELEPHONE,17,REVENDEUR DE TÉLÉPHONE,True
VENDEUR,17,FOURNISSEUR,True
MIHADY VOLAMENA,17,À LA RECHERCHE DE L'OR,True
DEUXIEME ADJOIN AU MAIRE,17,DEUXIEME ADJOIN AU MAIRE,True
PLOMBIER,17,PLOMBIER,True
GERANT,16,GARANTIE,True
MPIVAROTRA VOANKAZO,16,VENDEUR DE LÉGUMES,True
MANAO MOFO GASY,16,FAIRE DES CUISSON AU GAZ,True
MIASA AN TRANO,16,TRAVAILLER À LA MAISON,True
MPANAO SARANKATSAHA,16,FABRICANT PROFESSIONNEL,True
MIASATRANO,16,TRAVAIL,True
LIVREUR,16,BIBLIOTHÈQUE,True
MPAMBOLY ANTSOROROKA,16,AGRICULTEURS D'ÉPAULE,True
PANAMPY ANTRANO,16,ASSISTANCE,True
MIKARAMA MANAO TOKA,16,LOCATION POUR EN FAIRE UN,True
MAMBOLY SY MIOMPY,16,PLANTATION ET ÉLEVAGE,True
SARAKANTSAHA NA KIBAROA,16,SARAKANTASAHA OU KIBORA,True
MIVAROTRA VORONA,16,VENDRE DES OISEAUX,True
MAMBOLY VARY SY VOANJOBORY,16,CULTURE DU RIZ ET DU MAÏS,True
MPAMPIANATRA AMBARATONGA VOALOHANY,16,ENSEIGNANT PRIMAIRE,True
MIVAROTRA FRIPY,16,VENDRE DES PUCES,True
MANEOUVRE AGRICOLLE,16,MANŒUVRE AGRICOLE,True
