Colonne,Remplissage %,Valeurs uniques,Type,Catégorie remplissage
q4a_19d,35.1,10,Numérique,Moyen (20-50%)
q4a_230,33.8,30,Texte,Moyen (20-50%)
q4a_23b,33.7,10,Numérique,Moyen (20-50%)
q4a_22,33.7,7106,Texte,Moyen (20-50%)
q4a_23a,33.7,92,Numérique,Moyen (20-50%)
q4a_23c,33.7,10,Numérique,Moyen (20-50%)
q4a_46b,31.2,4,Texte,Moyen (20-50%)
q4a_46c,31.2,3,Texte,Moyen (20-50%)
q4a_10,27.1,5,Texte,Moyen (20-50%)
q4a_11,19.5,5,Texte,Faible (5-20%)
q4a_26,17.7,2,Texte,Faible (5-20%)
q4a_35,17.2,3,Texte,Faible (5-20%)
q4a_33,17.2,3,Texte,Faible (5-20%)
q4a_32a,17.2,4,Texte,Faible (5-20%)
q4a_32,17.2,3,Texte,Faible (5-20%)
q4a_29,17.2,4,Texte,Faible (5-20%)
q4a_27,15.4,7,Texte,Faible (5-20%)
q4a_28,15.4,44,Texte,Faible (5-20%)
q4a_88,13.0,9,Texte,Faible (5-20%)
q4a_30,12.1,4,Texte,Faible (5-20%)
q4a_31,12.1,8,Texte,Faible (5-20%)
q4a_13,10.5,2,Texte,Faible (5-20%)
q4a_16,9.5,21,Texte,Faible (5-20%)
q4a_15,9.5,8,Texte,Faible (5-20%)
q4a_141,9.5,897,Texte,Faible (5-20%)
q4a_92,8.3,24,Texte,Faible (5-20%)
q4a_91,8.3,7,Numérique,Faible (5-20%)
q4a_90,8.3,62,Texte,Faible (5-20%)
q4a_85,7.8,2,Texte,Faible (5-20%)
q4a_86,6.1,61,Texte,Faible (5-20%)
q4a_52b,5.9,4,Texte,Faible (5-20%)
q4a_52a,5.9,118,Texte,Faible (5-20%)
q4a_21,5.0,2541,Texte,Très faible (<5%)
q4a_25,3.9,4,Texte,Très faible (<5%)
q4a_95,3.6,24,Texte,Très faible (<5%)
q4a_94,3.6,7,Numérique,Très faible (<5%)
q4a_79,3.1,2,Texte,Très faible (<5%)
q4a_77,3.1,2,Texte,Très faible (<5%)
q4a_76,3.1,51,Texte,Très faible (<5%)
q4a_59,3.1,25,Numérique,Très faible (<5%)
q4a_56c,3.1,10,Numérique,Très faible (<5%)
q4a_541,3.1,948,Texte,Très faible (<5%)
q4a_54d,3.1,10,Numérique,Très faible (<5%)
q4a_55,3.1,868,Texte,Très faible (<5%)
q4a_56,3.1,163,Texte,Très faible (<5%)
q4a_54c,3.1,9,Numérique,Très faible (<5%)
q4a_560,3.1,20,Texte,Très faible (<5%)
q4a_56a,3.1,57,Numérique,Très faible (<5%)
q4a_54b,3.1,6,Numérique,Très faible (<5%)
q4a_54a,3.1,10,Numérique,Très faible (<5%)
q4a_56b,3.1,10,Numérique,Très faible (<5%)
q4a_54,3.1,143,Numérique,Très faible (<5%)
q4a_57,3.1,5,Texte,Très faible (<5%)
q4a_98,2.9,14,Texte,Très faible (<5%)
q4a_44,2.7,43,Numérique,Très faible (<5%)
q4a_34,2.6,37,Numérique,Très faible (<5%)
q4a_67,2.2,2,Texte,Très faible (<5%)
q4a_65,2.2,2,Texte,Très faible (<5%)
q4a_63,2.2,2,Texte,Très faible (<5%)
q4a_62b,2.2,4,Texte,Très faible (<5%)
q4a_61,2.2,7,Texte,Très faible (<5%)
q4a_60,2.2,4,Texte,Très faible (<5%)
q4a_58,1.9,2,Texte,Très faible (<5%)
q4a_74,1.3,42,Texte,Très faible (<5%)
q4a_50a,1.2,104,Texte,Très faible (<5%)
q4a_78,1.2,49,Texte,Très faible (<5%)
q4a_71,1.2,18,Numérique,Très faible (<5%)
q4a_70,1.2,7,Numérique,Très faible (<5%)
q4a_48a,1.1,82,Texte,Très faible (<5%)
q4a_50b,1.1,4,Texte,Très faible (<5%)
q4a_48b,1.0,4,Texte,Très faible (<5%)
q4a_68b,0.5,4,Texte,Très faible (<5%)
q4a_68a,0.5,23,Texte,Très faible (<5%)
q4a_80,0.2,22,Texte,Très faible (<5%)
q4a_05,0.2,12,Texte,Très faible (<5%)
q4a_81,0.2,2,Texte,Très faible (<5%)
q4a_07,0.1,3,Texte,Très faible (<5%)
q4a_99,0.1,2,Texte,Très faible (<5%)
q4a_12,0.0,4,Texte,Très faible (<5%)
q4a_08,0.0,2,Texte,Très faible (<5%)
q4a_14,0.0,0,Numérique,Très faible (<5%)
q4a_66a,0.0,10,Numérique,Très faible (<5%)
q4a_64b,0.0,3,Texte,Très faible (<5%)
q4a_06,0.0,2,Texte,Très faible (<5%)
q4a_82,0.0,17,Numérique,Très faible (<5%)
q4a_64a,0.0,8,Numérique,Très faible (<5%)
q4a_66b,0.0,3,Texte,Très faible (<5%)
