idHH_clean,salaire_mensuel,hhmilieu2,hhreg,q4a_02,metier_trouve,score_individuel_epm
000000000401,550000.0,1,41,Non,Vendeur,58.20033716718349
000000000401,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000401,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000402,650000.0,1,41,Oui,Ouvrier agricole,63.86775385560297
000000000402,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000402,500000.0,1,41,Non,Ouvrier agricole,51.24901803219111
000000000402,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000402,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000402,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000403,500000.0,1,41,Non,Ouvrier agricole,51.24901803219111
000000000403,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000403,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000403,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000403,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000404,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000404,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000404,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000405,500000.0,1,41,Oui,Ouvrier agricole,61.2490180321911
000000000405,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000405,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000406,500000.0,1,41,Non,Ouvrier agricole,51.24901803219111
000000000406,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000407,375000.0,1,41,Oui,Chauffeur,64.37757923365959
000000000407,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000407,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000407,500000.0,1,41,Non,Ouvrier agricole,41.24901803219111
000000000408,550000.0,1,41,Oui,Vendeur,68.2003371671835
000000000409,500000.0,1,41,Oui,Ouvrier agricole,61.2490180321911
000000000409,500000.0,1,41,Non,Ouvrier agricole,41.24901803219111
000000000409,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000409,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000410,500000.0,1,41,Oui,Ouvrier agricole,61.2490180321911
000000000410,500000.0,1,41,Oui,Ouvrier agricole,61.2490180321911
000000000410,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000410,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000410,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000410,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000410,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000410,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000410,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000411,500000.0,1,41,Oui,Ouvrier agricole,61.2490180321911
000000000411,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000411,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000412,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000412,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000412,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000412,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000501,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000501,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000501,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000502,325000.0,1,11,Non,Maçon,52.94924869771129
000000000502,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000502,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000502,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000502,650000.0,1,11,Non,Ouvrier agricole,53.86775385560296
000000000503,500000.0,1,11,Non,Ouvrier agricole,51.24901803219111
000000000503,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000503,500000.0,1,11,Non,Ouvrier agricole,51.24901803219111
000000000503,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000503,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000503,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000504,500000.0,1,11,Non,Ouvrier agricole,51.24901803219111
000000000504,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000504,650000.0,1,11,Non,Ouvrier agricole,53.86775385560296
000000000505,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000505,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000506,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000506,500000.0,1,11,Non,Ouvrier agricole,51.24901803219111
000000000506,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000507,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000507,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000508,325000.0,1,11,Non,Maçon,52.94924869771129
000000000508,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000508,500000.0,1,11,Non,Ouvrier agricole,51.24901803219111
000000000508,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000508,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000508,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000508,650000.0,1,11,Non,Ouvrier agricole,53.86775385560296
000000000508,650000.0,1,11,Non,Ouvrier agricole,53.86775385560296
000000000509,325000.0,1,11,Non,Maçon,52.94924869771129
000000000510,325000.0,1,11,Non,Maçon,52.94924869771129
000000000510,650000.0,1,11,Oui,Ouvrier agricole,63.86775385560297
000000000510,650000.0,1,11,Non,Ouvrier agricole,53.86775385560296
000000000510,650000.0,1,11,Non,Ouvrier agricole,53.86775385560296
000000000511,500000.0,1,11,Non,Ouvrier agricole,51.24901803219111
000000000511,500000.0,1,11,Non,Ouvrier agricole,51.24901803219111
000000000511,650000.0,1,11,Oui,Ouvrier agricole,63.86775385560297
000000000511,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000512,650000.0,1,11,Oui,Ouvrier agricole,63.86775385560297
000000000512,650000.0,1,11,Non,Ouvrier agricole,43.86775385560296
000000000601,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000602,500000.0,2,12,Oui,Ouvrier agricole,31.249018032191106
000000000602,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000603,370000.0,2,12,Non,Mécanicien,24.243600195998816
000000000603,650000.0,2,12,Non,Ouvrier agricole,23.867753855602967
000000000603,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000604,650000.0,2,12,Non,Ouvrier agricole,23.867753855602967
000000000604,650000.0,2,12,Non,Ouvrier agricole,23.867753855602967
000000000604,650000.0,2,12,Non,Ouvrier agricole,23.867753855602967
000000000604,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000605,716866.0,2,12,Oui,Serveur,40.84508857946628
000000000605,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000606,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000606,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000607,716866.0,2,12,Oui,Serveur,40.84508857946628
000000000608,550000.0,2,12,Oui,Vendeur,38.2003371671835
000000000608,550000.0,2,12,Oui,Vendeur,38.2003371671835
000000000608,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000608,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000608,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000608,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000609,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000609,500000.0,2,12,Oui,Ouvrier agricole,31.249018032191106
000000000610,500000.0,2,12,Oui,Ouvrier agricole,31.249018032191106
000000000610,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000610,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000610,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000610,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000611,500000.0,2,12,Oui,Ouvrier agricole,31.249018032191106
000000000611,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000611,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000611,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000612,500000.0,2,12,Oui,Ouvrier agricole,31.249018032191106
000000000612,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000612,650000.0,2,12,Non,Ouvrier agricole,13.867753855602965
000000000701,716866.0,1,61,Non,Serveur,60.84508857946628
000000000701,475000.0,1,61,Non,Enseignant privé,56.737044542107306
000000000701,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000701,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000702,550000.0,1,61,Non,Vendeur,58.20033716718349
000000000702,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000702,650000.0,1,61,Non,Ouvrier agricole,53.86775385560296
000000000703,650000.0,1,61,Non,Ouvrier agricole,53.86775385560296
000000000704,550000.0,1,61,Oui,Vendeur,68.2003371671835
000000000704,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000705,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000705,475000.0,1,61,Non,Enseignant privé,56.737044542107306
000000000705,775000.0,1,61,Non,Secrétaire,61.62337156779895
000000000706,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000706,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000706,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000707,550000.0,1,61,Oui,Vendeur,68.2003371671835
000000000707,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000707,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000707,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000707,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000707,650000.0,1,61,Non,Ouvrier agricole,53.86775385560296
000000000708,550000.0,1,61,Oui,Vendeur,68.2003371671835
000000000708,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000708,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000709,775000.0,1,61,Non,Secrétaire,61.62337156779895
000000000709,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000710,375000.0,1,61,Non,Chauffeur,54.37757923365959
000000000710,550000.0,1,61,Non,Vendeur,58.20033716718349
000000000710,370000.0,1,61,Non,Mécanicien,54.24360019599882
000000000710,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000710,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000710,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000711,325000.0,1,61,Non,Maçon,52.94924869771129
000000000711,550000.0,1,61,Oui,Vendeur,68.2003371671835
000000000711,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000711,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000711,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000711,650000.0,1,61,Non,Ouvrier agricole,53.86775385560296
000000000712,550000.0,1,61,Oui,Vendeur,68.2003371671835
000000000712,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000712,550000.0,1,61,Non,Vendeur,48.20033716718349
000000000712,650000.0,1,61,Non,Ouvrier agricole,43.86775385560296
000000000801,550000.0,2,54,Oui,Vendeur,38.2003371671835
000000000801,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000801,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000801,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000801,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000802,475000.0,2,54,Non,Enseignant privé,26.737044542107302
000000000802,475000.0,2,54,Non,Enseignant privé,26.737044542107302
000000000802,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000803,500000.0,2,54,Oui,Ouvrier agricole,31.249018032191106
000000000803,500000.0,2,54,Non,Ouvrier agricole,11.249018032191106
000000000803,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000803,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000803,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000804,500000.0,2,54,Oui,Ouvrier agricole,31.249018032191106
000000000804,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000804,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000804,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000804,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000804,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000805,650000.0,2,54,Oui,Ouvrier agricole,33.86775385560297
000000000806,500000.0,2,54,Oui,Ouvrier agricole,31.249018032191106
000000000807,550000.0,2,54,Non,Vendeur,28.20033716718349
000000000807,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000807,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000807,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000807,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000808,500000.0,2,54,Oui,Ouvrier agricole,31.249018032191106
000000000808,650000.0,2,54,Oui,Ouvrier agricole,33.86775385560297
000000000808,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000808,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000809,500000.0,2,54,Oui,Ouvrier agricole,31.249018032191106
000000000809,500000.0,2,54,Non,Ouvrier agricole,11.249018032191106
000000000809,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000809,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000810,500000.0,2,54,Oui,Ouvrier agricole,31.249018032191106
000000000810,500000.0,2,54,Non,Ouvrier agricole,11.249018032191106
000000000810,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000810,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000810,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000811,716866.0,2,54,Oui,Serveur,40.84508857946628
000000000811,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000812,550000.0,2,54,Non,Vendeur,28.20033716718349
000000000812,650000.0,2,54,Oui,Ouvrier agricole,33.86775385560297
000000000812,650000.0,2,54,Non,Ouvrier agricole,13.867753855602965
000000000812,650000.0,2,54,Non,Ouvrier agricole,23.867753855602967
000000000901,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000901,500000.0,2,41,Non,Ingénieur production,26.249018032191106
000000000901,500000.0,2,41,Non,Ouvrier agricole,11.249018032191106
000000000901,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000902,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000902,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000902,500000.0,2,41,Non,Ouvrier agricole,11.249018032191106
000000000902,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000902,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000903,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000903,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000903,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000903,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000903,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000903,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000904,500000.0,2,41,Oui,Ingénieur production,46.2490180321911
000000000904,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000904,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000905,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000905,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000905,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000905,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000905,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000905,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000905,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000906,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000906,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000906,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000906,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000906,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000906,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000906,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000907,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000907,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000907,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000907,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000907,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000907,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000908,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000908,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000908,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000908,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000908,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000908,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000909,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000909,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000909,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000909,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000909,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000910,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000910,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000910,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000910,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000910,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000910,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000911,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000911,650000.0,2,41,Oui,Ouvrier agricole,33.86775385560297
000000000911,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000911,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000911,650000.0,2,41,Non,Ouvrier agricole,23.867753855602967
000000000912,500000.0,2,41,Oui,Ouvrier agricole,31.249018032191106
000000000912,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000912,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000000912,650000.0,2,41,Non,Ouvrier agricole,13.867753855602965
000000001001,550000.0,2,24,Oui,Vendeur,38.2003371671835
000000001001,650000.0,2,24,Non,Ouvrier agricole,13.867753855602965
000000001001,650000.0,2,24,Non,Ouvrier agricole,13.867753855602965
000000001001,650000.0,2,24,Non,Ouvrier agricole,13.867753855602965
000000001001,650000.0,2,24,Non,Ouvrier agricole,23.867753855602967
000000001001,650000.0,2,24,Non,Ouvrier agricole,23.867753855602967
000000001002,500000.0,2,24,Oui,Ouvrier agricole,31.249018032191106
000000001002,650000.0,2,24,Non,Ouvrier agricole,13.867753855602965
000000001002,650000.0,2,24,Non,Ouvrier agricole,13.867753855602965
